id,type,text1,text2,text3,notes
Goat_Aviation_Bureau,FACTION,经历了曲折的撤离与艰难发展，航务局最终定居在了这核心星区外围。倚仗着建立在废墟上的两个空间站来积攒实力。他们并不知道自己可以走多远，但是他们认为航务局必将在星区立足。,,,
,,,,,
station_GAB11_suihen,CUSTOM,高速绕行的科考站。在 天阶港 成立后，为了分担超标的人口并且巩固星系防线，碎痕港 转型成为一个防御港口。,,,
station_GAB11_yuanjiang,CUSTOM,大崩塌前就构建完成的大型空间站。在大崩塌时被迫停工。直到航务局来到此地，进行简单的维护后才得以正常运行，成为航务局谋求进一步发展的核心殖民地。但可惜的是，航务局并没有预计到超出标准模型一位数的人口所蕴含的巨大破坏力。不出50年，这个半成品空间站的生态宣布全面崩溃，模拟大气系统被污染到无法治理，居民甚至在睡眠时也必须配戴防护呼吸阀。同时，由于垃圾处理系统的超负荷，太空港周围漂浮的大圈垃圾环带也成为了窝藏犯罪，扰乱交通，阻塞防御舰队部署的法外之地。种种问题使得当局不得不分流人口，以牺牲 碎痕港 的独立稳态为代价，勉强维持这座岌岌可危的空间站。同时值得幸庆的是，这种程度的毁坏被卢左判定为神罚，这使得这个空间站免于被撞沉的命运。,,,
,,,,,
planet_Huitzilopochtli,CUSTOM,距推测，此星球形成于在新星生成时分，蓝巨星开始反应后，抛出了大量气体，形成了这个不稳定的天体。它的体积濒临点燃极限，随时可以发生反应形成新的恒星。,,,
planet_Fomalhaut,CUSTOM,一颗被捕获的气态巨行星，它特殊的颜色使得航务局较为着迷，曾有规划作为旅行站点。大崩塌后，计划草草终止，这颗美丽的行星就此回归沉寂，在星区中继续旋转。,,,
,,,,,
#舰船,,,,,
,,,,,
goat_CROWN,SHIP,"明耀之冠-级 作为高度整合巡洋舰，在 萨克斯顿 系列设计前期便确定了拳头产品的定位，她拥有极端的防空性能和战场输出能力。同时得益于其强大的核心反应堆和高效的护盾系统，可在痛击对手的同时保持战场优越地位。

在设计巡洋舰时，船坞进行了潮汐电网技术与引力子技术的深度整合，优化了巡洋舰的整体性能，同时为期的舰载系统提供了高规格的能量供应。这种技术的应用让 明耀之冠-级 取得了更出色的战斗表现，为战场中的宇宙船舶提供了重要的核心支持。

无论是对防御还是对攻击，明耀之冠-级 都是非常具有优势和竞争力的。它拥有高速度、远程武器系统和精准攻击能力，可以快速打击敌人并确保战斗胜利。

萨克斯顿 船坞引力波技术的应用，将使这款巡洋舰的战斗表现更加出色。同时，明耀之冠-级 较大的冗余设计余量还保证了整个船舶系统的稳定性和可靠性，确保人员的安全。这是一种非常具有现代感和品质保障的高科技宇宙船舶，是 航务局 军事力量中的中坚力量。
",,,
goat_TOWER,SHIP,"一种极具竞争力和可靠性的战场堡垒。她拥有一套极度复杂同时深度融合了引力子技术的护盾系统，让 泡影-级 在战场上成为几乎拥有无可击破的绝对壁垒，其战斗耐力和防御能力甚至超出大部分主力舰船。

虽然这款巡洋舰在幅能排散时需要大量繁琐的操作以释放压力，但其预留了较大的改装空间以减弱此缺陷的影响。同时，船坞也推荐舰队通过加大其他舰船的掩护力度，解决这个问题。

此外，泡影-级 还拥有强大的防御火力系统，可自行清理小型敌方单位。这使得她的独立生存能力得到有力保证。

泡影-级 是一种非常先进和可靠的军用宇宙舰船。她拥有绝佳的防御能力和战斗耐力，并且在火力输出方面也非常到位。在复杂多变的战场环境中，她绝对是军事力量中不可或缺的重要一环！",,,
goat_FLY,SHIP,"萨克斯顿船坞 与 羊头航务局 合作设计的战术驱逐舰——流煌-级，是一款定位为战术突进的高速战舰，凭借两家互补的的专利技术，让她在装甲特化与引擎加强等方向较为深入，在突围与冲锋方面具有非常突出的表现。同时，其多样化的武装空间也十分引人注目。

这款战术驱逐舰整合了羊头航务局的高速重火力理论与萨克斯顿船坞的高效重甲理论，形成了一种具有非常强大的火力输出和防御能力的军事宇宙船舶。它拥有足够高效的能量利用协议，可以在战斗中持续输出高强度的能量服务于武装射击和动力输出。

此外，这款战舰还具有非常突出的速度和灵活性，可以在极短的时间内完成突击和冲锋行动。在面对战斗场面瞬息万变的情况下，流煌-级 的机动性能可以保障其在战场中的生存和发挥重要作用。

综上所述，流煌-级 战术驱逐舰是一款高效、强大、多功能的宇宙船舶，它集成了多个优秀的科技特点，可以为现代军事力量提供非常重要的支持和服务。这也体现了萨克斯顿船坞的高质量、高强度的设计理念。",,,
