id,type,text1,text2,text3,text4,notes
ApproLight01,CUSTOM,"这颗原 霸主 治下的星球经过高度改造，以牺牲环境为代价发展出规模宏大的纳米工厂群。与平原地带繁华的都市截然相反，行星最北面的山地被死寂所笼罩，那里散落着土著居民的废墟，夹杂在殖民战争时代的弹坑和碎片间，散发着一种莫名的不详气息。

这个类地行星上的城市都由全封闭式的半透穹顶隔绝受到污染的大气，这种紫色死气里混合了复杂的硫化合物、有机精炼副产品和放射性粉尘。任何野外作业都要仰赖着经过特化的工业机器人。人工智能在城市人口中占有不小的比重，并在近些年来推动了多项关于 A.I 权利的改革。

轨道城市、海军码头以及贸易港口一应俱全的 幽灵据点，现如今是 趋光议会 核心部门""幽灵纽带""的大本营，这个处于欧瑞捷门的直接统治下的行星，为各个趋光卫队提供高素质兵员，是捍卫 Agustin 星系 每个角落的主要地面力量。议会最主要的秘密集会都在 幽灵据点 举行，且 博尔肯基金会 的专有设施 —— 晶孔，遍布每座城市的各个角落，维持着城市的生命。",,"这个星球被 速子科技 以强硬手段夺走后一直处于争议状态。因为受到侵略而爆发出爱国主义热情，支持 速子科技 的农民，和被 趋光议会 拉拢的城市居民间时常爆发出流血冲突。除此之外，当地极度排斥外来人口，近一半的犯罪都与根深蒂固的排外传统有关。

你看着大厦上的标语 ""自由联盟的佣兵，可能你会受到不公平的待遇。但这一切都是你们自己造成的，相信我。"" 心里没来由的一阵不安，在趋光卫队赶来抓你之前，最好快点做出登陆地表或者离开的决定。",,
AL_planet_flameForge,CUSTOM,"一个已经荒废了的沙漠工业星球。上面布满着废弃的设施与数不清的生物骸骨。据说这里曾经出现过大规模的试验事故，不过具体事件议会已经闭口不谈。
从太空中望去，背离恒星的一面有着骇人的大洞，所有沙子宛如被黑洞牵引般灌入，然后消失不见。然而令人疑惑的是，火窑星球表面的沙子看上去永远是那么多。",,,,
AL_planet_imeatheus,CUSTOM,"这里是 乌洛波洛斯 的领域，霸主 部署在该星系的军事化机械监视站。但当 林·乌洛波洛斯 发誓效忠议长的那个瞬间，这个堪比行星要塞的星球就永远地纳入了 趋光议会 的治下。

该要塞被 霸主 命名为环宇者。星球的原始痕迹依稀可见，但那不过是钢铁覆盖中散落的几片实验田的缩影，甚至连星球内核也早已被 K-2 型行星驱动器所替代。",,由不知名金属打造的高耸围墙拦住了一切窥探者的视线。你看着周围军官奇怪的眼神，和他们腰间的短杆脉冲，心里有点发虚。,,
AL_planet_acupuncturePoint,CUSTOM,一个无人问津的星球。里面居住着为数不多的海盗。在趋光议会入驻该星系之时，在此星球与恒星之间设置了破灭迷雾信号发生器，使得海盗不知道趋光议会的存在，直到守夜人暴露。,,,,
AL_unosStation,CUSTOM,"乌洛波洛斯投诚时所建造的空间站。现今是囚禁朝圣与神格的巨型囚笼，同时也是议长进行无差别外交的地点，每个月议长都会定时到此办公，此时想要见他的人几乎能占满整个空间站的船舶。
只不过，他们见到的议长是否是本人有待商榷。",,你凝望着这个巨大而在整个星球下显得异常渺小的空间站群，心里有说不出的震撼。,,
AL_station_port_Julius,CUSTOM,"星系外围的驻防空间站，Julius 大公受封之地。一支 趋光卫队 负责把守这里的每一个气密门和主要舱室，同时巨型船坞中常驻着不止一艘战列舰，毫无疑问这个空间站是整个星系里最安全的几个地点之一。除了机库、油罐、粮仓、电池组外，这里有大量娱乐设施以满足 议会 高层的需求，老城区尤其以夜生活的丰富多彩著称。

这个空间站是在 ""守夜之误"" 事件后才建造的，中枢处部署的高倍率传感阵列正在逐渐取代破灭迷雾发生器成为此地的象征。 议会 高层为解决能量供应和军备需求的上涨，为这个空间站额外安装了数个工业板块，并由一位经验丰富的工程师主导规划了老城区—现在更多地被人称为内城区—外围的闲置土地，由此诞生的环城大道为内城区隔开了弥漫在工业板块的机油味和煤烟气。

目前环绕于守夜者这颗气态巨行星。",,你踩上船坞平台的连接桥，已经能望见放射出多道大灯，五彩斑斓的内城区。虽然距离那里还有至少五公里的路程，但不远处的建筑里传来一种你想不起名字的交响乐声，或许这个空间站比传闻中还要更加繁华。,,
AL_station_tri_detect,CUSTOM,守夜之误后，由速子科技建立的水产空间站，用于与议会表面上的商业联系，并且向霸主宣告速子的存在：谁也不能先一步染指议会。,,这里常见的都是正统的速子人，你能很明显地发现他们表情中的不满。,,
,,,,,,
Agustin,CUSTOM,霸主的殖民星系的蓝色巨星，趋光议会的能量来源之一，博尔肯人曾开玩笑说这个恒星是他们下一个捕获目标，结果误以为真的议员们差点当场和他们翻脸。,,,,
AL_planet_seker,CUSTOM,靠近混沌裂隙的沙漠星球，上面遍布着紫色风暴的痕迹。据说尘埃风暴来临之前这颗星球曾被趋光议会标记为矿产丰富的建设目标，因永光之锋与混沌裂隙的开辟而不得不废弃。,,被沙漠吞噬的世界，不少坑洞遍布着诡异的紫色晶体，其中数个大型坑洞中有不少趋光议会舰船的残骸。摄人心魄的紫色，恐怖而动人。,,
AL_planet_imhotep,CUSTOM,一颗冰岩星球，有限的可以搭建设施的地表上布满了工业的痕迹。这颗星球拥有着大量的气矿与其他金属矿物资源，博尔肯基金会在这里布下晶孔阵列后就离开了。除了偶尔几个人工智能负责定期检查和维护，这里的一切设施近乎是全自动的。你可以在幽灵据点部分晶孔出口的货物中很明显地找到伊姆贺特普的标记。,,,,
AL_planet_nightswatch,CUSTOM,"一颗气态巨行星，曾经是议会""守夜人""的工作地点。守夜人用以轨道舱为基础的特殊维生设施在行星轨道上偏居一隅，负责用设备扩大电磁干扰并扰乱靠近Agustin星系的舰队通讯，并维护穴点与恒星之间的破灭迷雾信号发生器，以达到藏匿的目的。守夜人将拥有一整套赛博空间来模拟和娱乐。只可惜议会已经暴露，守夜人也没有什么存在的必要了。",,,,
AL_chaosCrack,CUSTOM,一个存在无法被解释的次元裂缝。大量永光之锋舰队镇守于此。隐约缝隙之中，那个金色的建筑闪烁着圣光，令人无法忽视它的存在。,,,,AL_chaosCrack
AL_breakingMist_type,CUSTOM,一种恒星系级别的信号屏蔽器。其原理是将成千上万的迷雾炸弹引爆后产生的电子脉冲信号用一种特殊的技术维系，并藉此屏蔽掉一个星系的信号。博尔肯将炸弹生产的工厂和技术交给趋光议会后，议会早期依靠这个大型设施避免了大量的信号追踪。但随着守夜人之误事件发生，现在这里已经被废弃。,,早已废弃的破灭迷雾发生器，令人感叹时间过得如此之快。,,
,,,,,,
#Series,,,,,,
AL_respectorcannon,WEAPON,由原火革新派再改造的崇火者。相较于发射光束的原型，它采用了一种激进的手段压缩发射时间，辅以弹体约束，从而获得了卓越的实体杀伤力。在实战中，它常常用于摧毁小型目标和击溃重型装甲。,,,,
AL_respectbeam,WEAPON,由三个脉冲产生器震荡产生的电子流，以氘化二氦能量残留的形式溢出，当我方的幅能水平足够高时，有概率产生击穿护盾的电子流。,,,,
AL_spiderpalp,WEAPON,"以蛛网脉冲炮的构造理论小型化的武器，能短时间内发射大量弹丸。

阿瑞尼达与蜘蛛个人公司TM",,,,
AL_spiderpulse,WEAPON,"运用量子谐振波周期运转产生的脉冲进行包裹发射，弹丸威力虽小但效率极高，且有着不慢的充能时间，多个脉冲炮的组合可以使小型舰队难以接近。

阿瑞尼达与蜘蛛个人公司TM",,,,
AL_spiderlaser,WEAPON,"蛛网脉冲炮的理论改进版本，高速弹射脉冲，击中船体时，瞬间膨胀的磁场有概率产生足以扰动现实的电流，几乎能瞬间停机绝大多数的用电设备。

三大蛛网武器中最为致命的存在。阿瑞尼达与蜘蛛个人公司TM",,,,
AL_spiderpod,WEAPON,"发射一个包裹于量子膜中的低速聚合能量导弹，聚合弹能追踪敌方引擎，并在飞行途中不间断地复制子体。在战术层面上能极大程度得干扰敌方的防空系统。

阿瑞尼达与蜘蛛个人公司TM",,,,
AL_fireflushcannon,WEAPON,流火者的中型版本，是由重机枪为主体改造而成的机关炮。发射较为特殊的溶壳能量弹，以本体脆弱为代价，极大程度地增强了火蚀的不稳定性，能更有效率地腐蚀装甲，对抗中大型装甲单位也毫不逊色。,,,,
AL_fireflushpulse,WEAPON,"流火系列的最终产物，可靠的三联制式脉冲炮，在溶壳能量弹的基础上采用了一种处于纠缠态的等离子团作为核心，输出稳定，其火蚀效果甚至能威胁到结构本身。

不得不说原火氏族能设计出这么正常的武器真是吓到了全灵小组的那帮人...",,,,
AL_chopfire,WEAPON,可怕的高能远程武器，击发以钛钨合金为外壳，数个稳定反物质粒子团为核心的高温弹丸。威力强大，射程极远。常见于趋光议会适配超视距打击方案的战舰上。,,,,
AL_rodsfromchopper,WEAPON,比起斩火超距炮，此改型更侧重于提高单位时间内的爆发能量。通过压缩弹头的飞行寿命，其划过的轨迹引起的引力坍缩几乎能撕裂空间，这种威慑力能让所有被瞄准的敌人冷汗直流。,,,,
AL_moonfire_small,WEAPON,最初的月火雏形仅仅是一个不入流的点防御武器，然而依旧有些许能力。,,,,
AL_moonfire_medium,WEAPON,月火的这种中型重双管炮是专门针对护盾设计的。弹丸经过特殊设计，使其命中装甲时仍能产生不少的威胁。,,,,
AL_moonfire_large,WEAPON,最强的月火，弹丸击中后会抛射一部分热诱弹，并且抛射时释放的辐射能量能伤害到目标本身。,,,,
AL_lighter,WEAPON,点火者级鱼雷发射器，趋光议会以死神鱼雷的威力为目标所改造的，另一种意义上的九三式酸素鱼雷。威力大，载弹量大。出其不意攻其无备，比起死神鱼雷有更令人难以招架的射程和速度。,,,,
AL_lighter_large,WEAPON,"双联发射装置搭载着足够数量的鱼雷，且一次能发射3枚。迅捷，且致命的火力可以对那些机动力差的舰船造成毁灭性打击。
点火者级大型发射器是一个高科技拼装产物，拥有2个由发射器组装而成的鱼雷管道，外接的载弹装置能携带24枚点火者级鱼雷。开火系统连同高效的自动填弹装置能短时间内装弹3枚以供发射。",,,,
AL_lighter_single,WEAPON,点火者鱼雷的单发载荷版本，为了维持轻量化，减少了装药，但依然具备可怕的威力。,,,,
AL_lighter_hidden,WEAPON,内置的点火者鱼雷发射器。,,,,
AL_lighter_hidden_twin,WEAPON,内置的双联点火者鱼雷发射器，极大地增强了爆发能力，代价是灵活性的下降。,,,,
AL_hos_pulsecannon,WEAPON,能主动引发超负荷空间谐波的可怖脉冲武器，是视一切安全协议为无物的实验品。拥有极高能量转化效率和破坏性的同时，也对舰船自身幅能有着极端苛刻的要求，一旦系统幅能过高，整个炮塔的能量管道就会阻塞。,,,,
AL_hov_pulsecannon,WEAPON,"""谐波振荡电冲""的升级版，规格更高，安全系数更低，但也更加具有统治力。只要维持幅能状态良好，这个武器就能击落任何挡在你面前的敌舰，轻而易举地把军功送到你手上。",,,,
