name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
趋光计划-以太蓝图,alpj_ether_bp,package_bp,,,20000,1000,1,,graphics/icons/cargo/blueprint_approlight_ether.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,alpj_ether_bp,"使重工业设施能够制造 趋光计划-以太 设计中的常规船体, 武器以及战机 LPC. 很可惜, 这些蓝图被删去了重要部分.",290
趋光计划-全灵蓝图,alpj_spirit_bp,package_bp,,,50000,1000,1,,graphics/icons/cargo/blueprint_approlight_spirit.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,alpj_spirit_bp,"使重工业设施能够制造 趋光计划-全灵 设计中的常规船体, 武器以及战机 LPC.",290
时钟蜕变蓝图,morph_time_bp,package_bp,,0.25,10000,1000,1,,graphics/icons/cargo/blueprint_approlight_time.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,morph_time_bp,"使重工业设施能够制造 时钟蜕变 设计中的常规船体, 不过你确定你要建造他们吗?",290
原火氏族武器蓝图,prime_flame_bp,package_bp,,,10000,1000,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,prime_flame_bp,包含了弗莱姆特城中原火氏族心血结晶的一套武器蓝图， 其珍惜程度可与十四军团的蓝图相媲美。,290
始源灵树蓝图,alpa_bp,package_bp,,0.25,20000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,alpa_bp,"来自幽灵据点星球， 娜秋城始源灵树教派的蓝图副本， 使重工业设施能够制造 始源灵树 设计中的常规船体, 武器以及战机 LPC. ",90000
自解构蓝图,AL_prime_bp,,,,100000,1,1,,graphics/icons/cargo/AL_prime_blueprint.png,ui_chip_pickup,ui_bp_package_drop,originem.al.scripts.campaign.items.AL_PrimeBlueprintItemPlugin,,一个由金色未知金属组成的，显示着指定战舰信息的平板，记载着在当前科技水平难以解析的数据。甚至你能感觉到，其内部一直在散发光和热的电子元件似乎不需要能量来驱动。,10000
,,,,,,,,,,,,,,,
来自趋光议会的加密箱,AL_lockbox,,,,500000,1,1,,graphics/icons/cargo/AL_lockbox.png,ui_cargo_goods,ui_cargo_goods_drop,originem.al.scripts.campaign.items.AL_LockBoxItemPlugin,,从一位不知身份的雇佣兵那里获得的一份 来自趋光议会的 赃物。 通过构成复杂的 金属材质与加密界面， 你能肯定这里面一定有一些不得了的东西。 对于如何获取他的密码 或者干脆卖出去， 你已经有了初步的判断。,10000
趋光芯片-编号LB,AL_lockboxpw,,,,10000,1000,1,,graphics/icons/cargo/AL_lockbox_chip.png,ui_chip_pickup,ui_bp_package_drop,originem.al.scripts.campaign.items.AL_LockBoxPWItemPlugin,,包含了某个加密箱的信息，可以用来逆向分析出数位密码。,10000
购船合同,AL_ship_contract,,,,5000,1,1,,graphics/icons/cargo/AL_ship_contract.png,ui_chip_pickup,ui_bp_package_drop,originem.al.scripts.campaign.items.AL_ShipContractItemPlugin,,使用吉尔伯特货币购买本合同后，合同即刻履行，记载的舰船将会以封存的形式加入你的舰队。,10000
议员补给卡,AL_ration_card,,,,0,1,1,,,ui_chip_pickup,ui_bp_package_drop,originem.al.scripts.campaign.items.AL_RationCardItemPlugin,,"本卡记载了您在议会所拥有的吉尔伯特币的面额。本卡等级决定了你每月兑换吉尔伯特币的上限及在配给站购买货物的优惠。
本卡在议会没有常规升级手段，等级由最高领导人-议长直接决定。",10000
破灭迷雾微型纳米工厂,AL_bm_nanoforge,,,,150000,1,50,,graphics/icons/cargo/AL_bm_nanoforge.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,originem.al.scripts.campaign.items.AL_BMNanoforgeItemPlugin,,"一个技术来源于博尔肯基金会的，强大的微型""黑盒""工厂，能够制造一种名为""迷雾广播炸弹""的广域EMP武器。这种武器能干扰整个星区的感应器，成百上千的连携引爆甚至可以产生一种电子干扰膜——这就是破灭迷雾发生器的由来。",10000
迷雾广播炸弹,AL_bm_bomb,,,,10000,20,1,,graphics/icons/cargo/AL_bm_bomb.png,ui_cargo_special_military_pickup,ui_cargo_special_military_drop,originem.al.scripts.campaign.items.AL_BMBombItemPlugin,,强大的电磁脉冲炸弹，成百上千的炸弹同时爆炸时能直接形成固化的电子屏蔽层。单个的这种炸弹爆炸时几乎能瞬间造成一个星系的瘫痪。,10000
